px,py,yaw,continuous_lane_id
-61.54388,-217.4572,-1.544831,4.0
-61.28423,-227.4538,-1.544831,4.0
-61.02459,-237.4505,-1.544831,4.0
-60.76494,-247.4471,-1.544831,4.0
-60.50529,-257.4437,-1.544831,4.0
-60.24564,-267.4403,-1.544831,4.0
-59.986,-277.437,-1.544831,4.0
283.0716,-17.01491,-4.085031,4.0
276.8253,-8.737912,-4.042717,5.0
270.2344,-0.7325361,-4.000393,5.0
263.3108,6.986886,-3.958085,5.0
256.0669,14.40654,-3.915774,5.0
248.5156,21.51313,-3.873464,5.0
240.6705,28.29396,-3.83115,5.0
232.5455,34.73687,-3.788844,5.0
224.1978,40.80522,-3.754193,5.0
216.0163,46.5552,-3.754193,5.0
207.3259,52.38452,-3.697816,5.0
198.1831,57.69744,-3.631963,5.0
188.7106,62.39719,-3.566109,5.0
178.9493,66.46336,-3.500252,5.0
168.9416,69.87833,-3.434392,5.0
158.7308,72.62731,-3.368544,5.0
148.3613,74.69837,-3.302682,5.0
137.8779,76.08253,-3.236822,5.0
127.3262,76.7738,-3.170963,5.0
116.7519,76.76916,-3.105116,5.0
106.2008,76.06865,-3.039249,5.0
95.75524,74.70197,-2.978207,5.0
85.41676,72.70442,-2.917492,5.0
75.21856,70.08318,-2.856766,5.0
65.19821,66.84792,-2.796042,5.0
55.39265,63.01054,-2.735323,5.0
45.83804,58.5852,-2.674605,5.0
36.56957,53.58821,-2.613882,5.0
27.62142,48.03799,-2.553164,5.0
19.02657,41.955,-2.492444,5.0
10.81669,35.36165,-2.43172,5.0
3.022054,28.28225,-2.371,5.0
-4.170924,21.26212,-2.368062,5.0
-11.32541,14.27547,-2.367882,5.0
-18.62745,6.788443,-2.312829,5.0
-25.51913,-1.127469,-2.256032,5.0
-31.95034,-9.421841,-2.199232,5.0
-37.90033,-18.06792,-2.142436,5.0
-43.3499,-27.03782,-2.085638,5.0
-48.28149,-36.30262,-2.02884,5.0
-52.67919,-45.83244,-1.972041,5.0
-56.52881,-55.59652,-1.915244,5.0
-59.81794,-65.5634,-1.858445,5.0
-62.53596,-75.70093,-1.801643,5.0
-64.67413,-85.97639,-1.744847,5.0
-66.22552,-96.35667,-1.688054,5.0
-67.18517,-106.8083,-1.631251,5.0
-67.54994,-117.2975,-1.574458,5.0
-67.37952,-127.5784,-1.544831,5.0
-67.11988,-137.575,-1.544831,5.0
-66.86023,-147.5717,-1.544831,5.0
-66.60059,-157.5683,-1.544831,5.0
-66.34093,-167.5649,-1.544831,5.0
-66.08129,-177.5616,-1.544831,5.0
-65.82164,-187.5582,-1.544831,5.0
-65.562,-197.5548,-1.544831,5.0
-65.30235,-207.5514,-1.544831,5.0
-65.0427,-217.5481,-1.544831,5.0
-64.78305,-227.5447,-1.544831,5.0
-64.52341,-237.5413,-1.544831,5.0
-64.26376,-247.5379,-1.544823,5.0
-64.00411,-257.5346,-1.544831,5.0
-63.74446,-267.5312,-1.544827,5.0
-63.48482,-277.5278,-1.544831,5.0
-652.2376,505.0182,-3.85626,5.0
-660.0398,511.4341,-3.797521,3.0
-668.2053,517.3807,-3.738787,3.0
-676.7059,522.8376,-3.679992,3.0
-685.5123,527.7859,-3.621209,3.0
-694.5941,532.2084,-3.562482,3.0
-703.9199,536.09,-3.503771,3.0
-713.4576,539.4172,-3.444987,3.0
-723.1085,542.2314,-3.417352,3.0
-732.7306,544.9545,-3.417411,3.0
-742.3527,547.6776,-3.417411,3.0
-751.9748,550.4008,-3.417352,3.0
-761.5969,553.1238,-3.417411,3.0
-770.9401,556.1711,-3.519152,3.0
-779.842,560.2492,-3.635079,3.0
-788.2126,565.3295,-3.750944,3.0
-795.9396,571.3439,-3.866877,3.0
-802.919,578.2115,-3.982781,3.0
-809.0574,585.8401,-4.098703,3.0
-814.2723,594.1276,-4.214616,3.0
-818.4937,602.9626,-4.330556,3.0
-821.665,612.2264,-4.446388,3.0
-823.7437,621.7949,-4.562352,3.0
-824.7017,631.5396,-4.678263,3.0
-824.5263,641.3297,-4.794207,3.0
-823.2198,651.0339,-4.910084,3.0
-820.7998,660.5217,-5.02587,3.0
-817.6777,670.0016,-5.031051,3.0
-814.5448,679.4982,-5.031051,3.0
-649.9362,507.6551,-3.856346,3.0
-657.8972,514.2016,-3.797582,4.0
-666.2288,520.2693,-3.738838,4.0
-674.9025,525.8373,-3.679992,4.0
